"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD34","CD38","7-AAD","IdxCol","IdxRow","Time"
422,236,457,281,154,467,253,624,461,197,313,524
393,263,383,171,95,459,234,321,275,160,313,527
399,241,423,294,168,449,262,333,259,122,313,530
389,251,397,194,122,408,249,299,269,85,313,532
418,232,461,268,148,463,243,577,389,85,256,536
349,245,365,187,118,406,234,411,293,122,256,539
433,238,466,362,208,445,236,242,303,160,256,542
418,255,421,280,148,483,263,255,241,197,256,545
416,256,417,234,145,411,535,543,347,234,256,548
516,266,497,318,155,527,413,567,423,271,256,552
449,249,461,176,94,481,318,657,454,308,256,556
494,253,499,339,180,482,371,623,434,345,256,560
433,261,424,257,161,408,565,628,446,382,256,563
384,227,433,213,144,379,381,252,306,419,256,565
360,213,433,370,223,426,331,257,282,456,256,568
379,248,391,282,168,430,294,266,273,493,256,570
405,255,406,270,161,430,326,266,293,531,256,574
378,230,419,283,164,442,296,253,266,568,256,576
433,250,443,357,192,476,348,294,306,568,199,579
464,272,437,242,127,486,316,259,274,531,199,582
505,276,468,360,187,493,307,280,248,493,199,585
419,254,421,306,165,474,313,257,272,456,199,589
343,244,361,158,110,365,295,282,218,419,199,592
482,249,496,282,157,459,326,593,421,382,199,595
387,257,385,205,130,401,488,582,401,345,199,599
382,237,413,196,122,412,325,614,418,308,199,603
422,263,410,162,91,457,378,612,433,271,199,606
344,236,373,163,108,387,379,574,379,234,199,609
378,252,385,191,110,444,253,299,285,197,199,612
361,236,391,196,129,390,248,243,220,160,199,615
425,255,427,296,178,426,238,260,296,122,199,618
392,240,419,270,159,433,247,253,256,85,199,621
373,227,421,195,116,430,242,455,316,85,142,624
377,246,393,211,127,424,258,302,272,122,142,627
344,227,387,227,133,436,263,403,320,160,142,630
398,250,408,220,132,429,239,623,434,197,142,633
408,237,440,215,120,458,439,557,405,234,142,636
398,261,391,166,105,403,308,561,352,271,142,639
340,238,366,176,113,398,335,617,435,308,142,642
393,246,410,194,121,412,422,606,404,345,142,645
417,258,414,182,117,399,467,623,434,382,142,649
370,232,408,300,169,455,357,263,216,419,142,652
409,253,414,254,151,431,302,244,363,456,142,655
487,273,457,327,167,502,297,252,347,493,142,658
493,256,492,346,178,497,409,282,378,531,142,661
445,263,433,273,150,466,315,247,281,568,142,664
390,252,395,173,103,429,297,244,248,568,85,667
352,236,381,202,123,420,297,261,288,531,85,670
444,246,462,342,200,439,343,285,358,493,85,673
372,240,396,248,147,431,367,257,262,456,85,677
415,249,427,257,141,466,292,273,249,419,85,680
393,250,402,185,116,408,317,636,460,382,85,683
474,251,484,215,113,486,388,583,434,345,85,686
491,248,506,322,167,494,325,670,466,308,85,690
498,269,474,292,150,498,423,563,401,271,85,693
424,257,422,215,133,414,349,597,408,234,85,697
379,247,393,217,145,383,245,419,318,197,85,699
324,197,420,299,154,496,261,266,366,160,85,702
326,215,388,222,133,429,242,629,456,122,85,705
379,240,404,296,170,446,259,332,278,85,85,707
389,243,411,213,126,433,308,564,409,679,85,713
372,246,388,190,117,416,250,443,318,679,142,715
327,188,446,306,150,522,336,603,432,679,199,718
376,258,373,149,99,384,237,395,275,679,256,721
462,255,465,320,174,472,589,598,422,679,313,724
352,234,385,247,146,432,243,568,368,679,370,727
422,256,421,203,125,416,351,587,391,679,427,732
380,252,386,233,149,400,249,328,249,679,484,734
367,236,397,142,90,403,312,562,350,679,540,737
361,223,415,270,156,445,237,278,224,679,597,739
396,238,425,258,148,445,369,610,441,679,654,743
439,264,427,235,142,423,242,516,398,679,711,745
296,216,351,110,72,390,317,645,446,679,768,748
423,264,411,192,123,401,239,498,353,679,825,751
395,250,404,156,95,418,347,637,442,679,882,754
319,202,404,304,186,418,263,261,248,679,939,756
350,205,438,231,132,446,250,597,426,716,939,759
337,241,358,154,100,396,251,449,348,753,939,762
343,238,368,159,103,397,246,323,261,790,939,765
382,250,391,156,101,396,442,663,466,827,939,770
410,263,400,192,109,453,353,659,468,864,939,772
363,205,454,206,124,424,311,631,446,902,939,776
451,244,473,322,176,469,549,659,469,939,939,780
406,243,428,180,102,450,379,608,445,939,825,783
451,238,485,183,106,441,384,636,458,902,825,788
447,262,437,235,145,413,357,614,431,864,825,793
373,214,447,349,198,452,352,268,373,864,882,796
409,253,414,282,159,454,306,260,282,827,882,799
386,252,392,234,135,443,295,253,308,790,882,802
450,257,448,270,148,465,325,267,319,753,882,805
392,248,405,242,137,451,294,242,248,716,882,808
390,252,397,293,184,407,253,390,341,716,825,811
435,251,443,329,188,447,251,588,390,753,825,814
374,236,406,263,169,399,252,518,400,790,825,816
335,239,358,141,88,408,446,609,423,827,825,820
407,218,477,343,197,447,332,260,296,827,768,823
457,247,472,332,173,491,305,270,302,790,768,825
451,263,439,328,189,445,321,251,337,753,768,828
443,250,454,317,169,480,314,269,297,716,768,831
390,251,399,273,160,436,260,329,281,716,711,834
410,232,452,352,185,488,234,258,237,753,711,836
377,241,401,189,118,412,257,355,299,790,711,839
401,223,460,278,160,446,393,648,469,827,711,843
434,264,421,204,122,429,313,646,457,864,711,846
423,263,412,280,159,451,312,288,248,864,768,849
411,222,474,307,172,456,509,633,455,902,711,852
467,244,491,359,186,493,616,613,456,939,711,856
434,260,426,168,98,441,321,647,455,939,597,860
455,263,443,230,133,442,322,633,436,902,597,863
456,258,452,248,147,431,534,627,457,864,597,867
468,267,449,274,140,501,306,282,282,864,654,870
461,261,452,279,143,498,323,259,312,827,654,873
455,269,433,304,164,474,313,253,311,790,654,875
402,246,418,214,125,437,307,283,282,753,654,879
442,242,468,378,216,447,345,246,265,716,654,882
412,260,406,212,126,430,246,568,393,716,597,884
405,261,398,204,125,419,243,588,398,753,597,888
394,235,429,378,211,458,245,277,296,790,597,891
424,255,426,196,124,404,442,630,468,827,597,894
461,267,443,322,179,460,309,253,264,827,540,897
356,232,393,270,154,450,314,259,204,790,540,900
418,257,417,305,195,400,331,250,215,753,540,903
432,260,424,348,189,472,305,260,317,716,540,906
368,245,385,221,128,443,259,413,300,716,484,908
368,253,372,167,106,404,244,531,400,753,484,911
323,225,368,158,97,417,242,312,223,790,484,914
349,229,391,162,110,376,328,614,431,827,484,917
470,260,463,291,155,481,313,607,423,864,484,921
406,248,419,283,165,440,292,264,253,864,540,923
409,256,409,187,123,389,314,593,414,902,484,927
372,236,404,151,95,407,316,567,382,939,484,931
487,265,470,299,163,469,443,605,460,939,370,934
451,245,471,286,155,473,310,626,461,902,370,936
469,274,438,231,126,470,503,634,443,864,370,939
390,238,420,336,207,416,294,267,297,864,427,942
389,224,445,301,174,442,293,265,300,827,427,945
396,224,453,366,197,475,390,260,357,790,427,948
401,246,417,326,177,472,300,282,271,753,427,951
400,261,393,273,147,477,306,246,254,716,427,954
339,228,381,214,120,457,251,509,328,716,370,956
403,235,438,242,133,466,247,582,402,753,370,959
375,237,406,225,136,424,251,335,222,790,370,962
434,249,446,267,169,404,398,559,429,827,370,965
377,236,408,197,115,438,373,228,260,827,313,968
437,255,439,334,186,459,299,247,352,790,313,971
437,239,468,366,187,500,419,281,266,753,313,974
384,237,414,350,197,454,316,260,286,716,313,977
405,246,421,247,146,433,256,534,355,716,256,980
385,241,409,238,154,396,232,233,269,753,256,984
447,267,428,296,174,434,232,418,285,790,256,986
431,231,479,324,187,443,376,657,456,827,256,990
490,257,487,317,165,492,377,585,394,864,256,994
381,234,417,332,214,397,294,280,413,864,313,997
447,238,480,358,199,460,528,612,418,902,256,1001
476,249,490,364,196,475,335,586,399,939,256,1004
385,250,395,214,131,419,504,594,409,939,142,1008
389,244,409,178,109,417,532,551,359,902,142,1012
442,270,419,196,111,454,317,595,424,864,142,1015
388,249,400,255,146,446,345,263,374,864,199,1017
394,245,411,309,196,405,296,239,252,827,199,1021
479,270,454,321,186,441,317,242,332,790,199,1023
462,256,461,340,186,468,292,276,256,753,199,1023
414,261,407,241,145,426,304,245,266,716,199,1023
378,244,396,311,195,409,247,279,295,716,142,1023
343,236,372,128,79,416,260,249,298,753,142,1023
350,210,428,304,172,451,234,253,258,790,142,1023
501,265,484,310,168,472,323,621,448,827,142,1023
416,248,430,375,215,446,298,250,314,827,85,1023
420,253,426,320,195,421,300,270,262,790,85,1023
459,263,447,260,138,483,296,295,284,753,85,1023
395,247,410,249,149,427,318,270,286,716,85,1023
393,243,415,285,157,464,307,243,247,864,85,1023
