FSC-A	FSC-H	FSC-W	SSC-A	SSC-H	SSC-W	CD34	CD38	7-AAD	Column	Row	Time	Well
390	247	404	220	136	414	256	463	316	17	E	73.2434	E17
384	255	385	137	93	375	397	654	453	17	D	73.4643	D17
458	261	450	319	186	439	254	479	317	17	C	73.7137	C17
464	255	467	282	145	496	675	542	447	17	B	74.0506	B17
403	266	388	178	114	398	245	478	265	17	A	74.2826	A17
437	274	408	271	151	458	235	389	322	18	A	74.5437	A18
310	223	357	149	97	393	240	311	234	19	A	74.812	A19
376	227	424	208	119	447	266	310	266	20	A	75.1392	A20
357	214	427	240	146	422	453	615	427	21	A	75.4828	A21
396	251	403	151	92	417	466	577	402	22	A	75.7634	A22
502	277	464	164	91	462	309	673	470	23	A	76.1363	A23
377	216	447	139	85	421	342	641	416	24	A	76.46	A24
442	245	462	150	88	437	339	616	422	24	C	76.7863	C24
417	258	414	186	104	458	506	563	415	23	C	77.0928	C23
406	261	399	215	124	443	399	593	409	22	C	77.4313	C22
477	282	433	227	129	450	299	268	268	22	B	77.6815	B22
414	234	453	368	198	475	305	271	289	21	B	78.0442	B21
374	241	396	227	139	418	316	261	268	20	B	78.3406	B20
465	256	465	364	186	503	316	270	360	19	B	78.669	B19
392	235	428	365	204	459	325	268	318	18	B	78.9417	B18
309	210	377	156	95	420	250	359	280	18	C	79.2277	C18
404	248	417	248	135	470	248	414	329	19	C	79.4998	C19
366	243	384	216	139	399	247	396	294	20	C	79.8269	C20
464	265	448	207	111	478	340	645	468	21	C	80.0968	C21
453	254	457	235	121	498	295	287	240	21	D	80.3664	D21
451	249	464	300	174	441	323	273	323	20	D	80.6692	D20
372	220	433	274	152	461	300	262	362	19	D	80.9748	D19
463	247	481	286	159	460	346	266	319	18	D	81.3349	D18
375	256	375	175	109	409	239	471	317	18	E	81.5613	E18
349	243	368	190	129	379	263	255	262	19	E	81.8415	E19
406	261	398	206	123	429	239	437	270	20	E	82.1723	E20
413	260	407	230	143	410	427	596	462	21	E	82.3999	E21
431	268	411	166	107	396	346	610	414	22	E	82.8119	E22
453	250	464	307	171	460	299	264	277	22	D	83.0908	D22
441	247	458	229	126	467	414	613	413	23	E	83.3853	E23
511	260	503	294	154	487	333	633	445	24	E	83.7477	E24
425	259	420	188	110	437	337	542	358	24	G	84.109	G24
378	250	387	222	145	392	602	626	444	23	G	84.4042	G23
513	274	480	296	151	502	337	662	462	22	G	84.7167	G22
388	249	399	302	162	478	401	269	341	22	F	84.93	F22
386	216	456	326	172	486	293	260	353	21	F	85.2201	F21
526	293	459	341	179	488	319	284	385	20	F	85.4786	F20
395	248	407	321	182	451	349	269	332	19	F	85.7565	F19
365	231	405	257	150	439	297	284	270	18	F	86.0236	F18
370	250	378	227	143	406	249	294	245	18	G	86.319	G18
397	242	419	204	124	422	251	475	383	19	G	86.5928	G19
355	230	395	135	82	422	247	590	409	20	G	86.9201	G20
384	247	398	172	105	417	537	654	464	21	G	87.2568	G21
386	237	417	286	157	466	360	274	321	21	H	87.4962	H21
339	224	388	240	146	421	299	251	266	20	H	87.7665	H20
356	200	455	367	226	416	315	266	313	19	H	88.1068	H19
359	240	383	218	135	412	360	255	289	18	H	88.3726	H18
355	225	403	285	166	441	237	371	317	18	I	88.6012	I18
378	253	383	231	146	407	263	352	276	19	I	88.8768	I19
370	256	370	183	127	368	254	335	248	20	I	89.2053	I20
474	265	458	282	159	455	654	563	409	21	I	89.4811	I21
388	244	407	135	84	409	413	548	408	22	I	89.7763	I22
435	224	497	315	155	521	384	296	284	22	H	90.0226	H22
459	256	460	196	120	417	311	550	372	23	I	90.3494	I23
364	235	397	138	84	421	362	618	433	24	I	90.6308	I24
479	255	482	279	143	498	331	571	368	24	K	90.9744	K24
420	242	445	246	136	462	319	621	468	23	K	91.2901	K23
412	231	457	136	66	532	366	648	448	22	K	91.5997	K22
432	260	425	282	164	441	346	254	302	22	J	91.9103	J22
343	195	450	296	155	491	297	258	268	21	J	92.2063	J21
405	239	434	240	149	414	341	252	304	20	J	92.50200000000001	J20
400	228	449	342	200	439	308	275	279	19	J	92.8488	J19
415	264	402	275	145	484	347	269	296	18	J	93.1245	J18
376	238	405	249	161	396	260	323	306	18	K	93.4192	K18
386	256	387	168	105	412	247	295	241	19	K	93.6883	K19
398	261	390	233	148	404	229	437	340	20	K	93.9573	K20
386	243	407	130	87	381	404	622	445	21	K	94.3149	K21
366	227	413	346	212	418	361	269	363	21	L	94.5735	L21
468	279	430	352	182	494	338	258	303	20	L	94.8781	L20
470	256	470	304	171	455	304	274	328	19	L	95.145	L19
471	279	432	331	201	421	323	257	246	18	L	95.425	L18
406	247	420	293	176	426	257	285	265	18	M	95.646	M18
359	222	414	189	112	430	230	394	327	19	M	95.9164	M19
402	247	416	246	151	419	256	479	294	20	M	96.2464	M20
538	281	489	293	145	516	318	646	468	21	M	96.7122	M21
477	251	487	267	145	470	578	621	461	22	M	97.0103	M22
367	212	443	343	203	433	297	270	277	22	L	97.2386	L22
475	269	452	226	127	454	350	601	429	23	M	97.6204	M23
408	254	410	170	102	430	326	608	431	24	M	98.0324	M24
459	241	487	272	149	466	319	639	459	24	O	98.3947	O24
415	232	458	291	166	450	478	627	463	23	O	98.9218	O23
524	260	515	313	152	527	598	598	437	22	O	99.3373	O22
418	248	430	269	168	411	296	257	259	22	N	99.5898	N22
398	222	458	346	190	466	433	261	287	21	N	99.8914	N21
397	249	408	271	168	414	294	279	303	20	N	100.21700000000001	N20
385	225	438	280	161	446	334	258	382	19	N	100.551	N19
343	226	389	219	131	429	329	277	237	18	N	100.84	N18
438	269	417	146	89	421	245	540	316	18	O	101.055	O18
344	235	375	142	101	361	243	477	312	19	O	101.315	O19
365	248	377	164	98	429	255	251	279	20	O	101.584	O20
533	266	514	314	151	532	497	631	466	21	O	101.87899999999999	O21
476	267	456	354	207	438	300	269	304	21	P	102.111	P21
435	259	429	237	128	475	298	255	234	20	P	102.366	P20
394	251	402	257	147	448	298	260	282	19	P	102.67	P19
419	245	437	313	188	428	353	250	333	18	P	102.949	P18
400	240	428	363	213	435	301	257	256	22	P	103.339	P22
