Well,IdxRow,IdxCol,FSC-A,FSC-W,FSC-H,SSC-A,SSC-W,SSC-H,PE-A,APC-Cy7-A,PE-Cy5-A,Time,nbrCell
B19,B,19,118996.5546875,119045.609375,65509,93262,128690.3359375,47494,202.343075480948,452.200012207031,719.839965820312,55366.30078125,1
B20,B,20,95621.6015625,101444.90625,61774,58005.99609375,107086.9921875,35499,155.703183081568,451.350006103516,190.080001831055,55135.19921875,1
B21,B,21,105953.609375,115975.078125,59873,94132.4765625,121682.640625,50698,203.231318556797,386.75,300.079986572266,54926.6015625,1
B22,B,22,122110.671875,110858.3828125,72188,58088.15625,115307.1484375,33015,191.795381714854,354.450012207031,188.31999206543,54671.30078125,1
C01,C,01,96590.8046875,95882.6796875,66020,37827.91796875,105322.8984375,23538,2282.70927175312,85,536.799987792969,7402.60009765625,1
C02,C,02,92655.2265625,100035.46875,60701,28749.759765625,110942.9609375,16983,1612.1532938408,53.5500030517578,430.320007324219,7632,1
C03,C,03,100932.2265625,98310.0625,67284,36498.796875,99678.515625,23997,3841.19823933983,13.6000003814697,798.159973144531,7822.2001953125,1
C04,C,04,110372.4609375,107436.390625,67327,66441.4375,101437.5078125,42926,2462.21495469022,198.900009155273,700.47998046875,8051.5,1
C05,C,05,93183.890625,100244.5703125,60920,31586.87890625,105048.1015625,19706,7501.01334166035,848.300048828125,1610.40002441406,8240.400390625,1
C06,C,06,100383.9921875,110818.921875,59365,37081.19921875,91932.8671875,26434,5934.63541883035,669.800048828125,1280.40002441406,8474.900390625,1
C07,C,07,103835.40625,105408.4296875,64558,28250.55859375,108055.8359375,17134,4581.13802406875,1126.25,979.440002441406,8755.2001953125,1
C08,C,08,123533.78125,113216.8359375,71508,49464.4765625,113184.03125,28641,7289.84952278554,559.299987792969,1664.07995605469,8961.400390625,1
C09,C,09,121883.71875,116729.09375,68430,33420.3984375,130231.8515625,16818,6293.67674176839,659.600036621094,1332.31994628906,9176,1
C10,C,10,94645.265625,96569.7109375,64230,46400.63671875,102709.234375,29607,109.93794609,493,337.040008544922,9370.2001953125,1
C11,C,11,100312.7890625,108428.03125,60631,62569.51953125,111334.3671875,36831,147.797200537891,340,75.6800003051758,9555.2001953125,1
C12,C,12,90309.1875,99200.546875,59662,66367.59375,113483.09375,38327,131.960092914195,317.050018310547,139.039993286133,9802.599609375,1
C13,C,13,109950.6015625,106114.765625,67905,59293.51953125,113432.59375,34257,45.6807190974237,629.850036621094,268.399993896484,9963.400390625,1
C14,C,14,129305.4296875,123414.890625,68664,58462.55859375,119918.703125,31950,150.428426787003,409.700012207031,118.800003051758,10155.400390625,1
C17,C,17,117310.0078125,115143.6875,66769,81615.0390625,112384.6640625,47593,1851.50504100125,119,456.720001220703,51878.80078125,1
C18,C,18,79035.5625,96462.9609375,53696,39871.51953125,107544.9765625,24297,709.267664469219,97.75,255.199996948242,55759.5,1
C19,C,19,103384.1796875,106877.3984375,63394,63594.95703125,120417.1953125,34611,1127.2691163673,86.7000045776367,525.359985351562,55951,1
C20,C,20,93584.390625,98394.8359375,62332,55376.87890625,102161.3359375,35524,981.189527235647,83.3000030517578,327.359985351562,56181.19921875,1
C21,C,21,118744.6875,114630.7421875,67888,53053.51953125,122306.0234375,28428,7078.64568982696,588.200012207031,1703.67993164062,56371.19921875,1
C22,C,22,104044.5546875,102100.265625,66784,55032.63671875,113337.28125,31822,4537.15385851321,1000.45001220703,1087.68005371094,54495.19921875,1
C23,C,23,106758.171875,105860.0703125,66092,47625.7578125,117329.578125,26602,3541.71455200785,2267.80004882812,1138.71997070312,54257,1
C24,C,24,113053.140625,118274.203125,62643,38318.796875,111900.03125,22442,5528.96664426089,583.100036621094,1201.19995117188,54041.30078125,1
D01,D,01,118337.9609375,118236.9296875,65592,66540.234375,119254.5390625,36567,3923.0154314775,195.5,706.640014648438,13174,1
D02,D,02,120566.515625,115536.8125,68389,94744,116959.4375,53088,1550.53928754955,164.050003051758,928.400024414062,12939.2001953125,1
D03,D,03,92224.46875,99583.5234375,60693,48356.87890625,106916.6484375,29641,313.278500926225,11.9000005722046,15.8400001525879,12750.2998046875,1
D04,D,04,106582.8359375,105268.9140625,66354,64444.63671875,111187.1484375,37985,1128.15596857878,32.2999992370605,266.639984130859,12518.7001953125,1
D05,D,05,117481.78125,119062.3515625,64666,46735.51953125,123407.8359375,24819,3124.81526115143,513.400024414062,850.080017089844,12289.5,1
D06,D,06,92762.03125,114741.8515625,52982,54843.359375,110581.0078125,32503,4585.52536196553,1229.95007324219,940.719970703125,12055.7001953125,1
D07,D,07,98103.8046875,100727.4296875,63829,32876.48046875,97185.078125,22170,5588.78027558339,791.350036621094,1086.80004882812,11804.099609375,1
D08,D,08,93719.671875,104998.84375,58496,53579.7578125,110359.015625,31818,7760.65093231554,546.549987792969,1735.35998535156,11585.599609375,1
