FSC-A,FSC-W,FSC-H,SSC-A,SSC-W,SSC-H,PE-A,APC-Cy7-A,PE-Cy5-A,Time,IdxRow,IdxCol,Well
108650.3046875,111466.921875,63880,73220.15625,110736.7578125,43333,174.185333857896,434.350006103516,287.760009765625,27237,I,11,I11
101809.765625,109839.578125,60745,84943.0390625,106081.265625,52477,160.997946410328,334.050018310547,341.440002441406,27448.400390625,I,12,I12
111023.9375,111686.875,65147,84020.5546875,129787.6640625,42426,186.492059226094,539.75,300.079986572266,27636.599609375,I,13,I13
106533.890625,112615.203125,61997,58910.796875,115474.609375,33434,257.792172029854,379.950012207031,331.760009765625,27866,I,14,I14
139645.453125,124900.09375,73273,90400.953125,134257.546875,44128,287.593962052406,1319.20007324219,852.719970703125,28056,J,14,J14
116657.640625,120530.90625,63430,89705.1953125,121540.625,48370,88.838271348418,331.5,139.039993286133,28259.30078125,J,13,J13
111999.375,104704.4453125,70102,76220.5546875,112496.6875,44403,227.833122693409,690.200012207031,449.679992675781,28450.400390625,J,12,J12
116421.7890625,126840.1953125,60153,71053.8359375,130316.0703125,35733,241.921148736963,626.450012207031,253.440002441406,28632.599609375,J,11,J11
105676.8203125,103421.7265625,66965,91681.1953125,107519.75,55882,248.990992092828,389.300018310547,390.720001220703,28829.30078125,J,10,J10
115093.015625,114041.96875,66140,40670.23828125,106304.1875,25073,4921.78731190473,417.350006103516,1391.28002929688,29020.5,J,09,J09
95675,100013.6640625,62693,28742.478515625,100030.109375,18831,5448.86709404535,737.800048828125,1271.59997558594,29222.80078125,J,08,J08
114998.6796875,111454.5,67620,39454.48046875,112917.109375,22899,8007.0695111517,402.050018310547,1496,29445.19921875,J,07,J07
99138.875,104444.28125,62207,39037.4375,100343.484375,25496,4438.64885284571,566.950012207031,1177.43994140625,29697.400390625,J,06,J06
115569.171875,109276.3125,69310,47313.7578125,122997,25210,3390.11125744633,4199.85009765625,1078,30011.19921875,J,05,J05
104914.0859375,113547.6328125,60553,57869.7578125,105913.5625,35808,3482.14835724299,91.8000030517578,1085.92004394531,30207.80078125,J,04,J04
96280.1953125,95805.09375,65861,43904.63671875,101647.453125,28307,1753.82648514254,107.100006103516,777.919982910156,30397.400390625,J,03,J03
92471,100520.5,60288,55075.27734375,101183.375,35672,1167.74278445536,136.850006103516,254.31999206543,30588.19921875,J,02,J02
97078.53125,98307.0703125,64717,48669.91796875,105226.6953125,30312,2198.24052518188,-4.25,694.320007324219,30819.69921875,J,01,J01
97851.046875,98012.5625,65428,42262.4765625,100683.921875,27509,2607.42731664487,100.300003051758,561.440002441406,31008.5,K,01,K01
96413.6953125,98262.4140625,64303,38069.19921875,96652.9765625,25813,1428.23046816868,75.6500015258789,425.919982910156,31198.30078125,K,02,K02
87050.0078125,93356.28125,61109,43797.51953125,90991.1015625,31545,1066.54859563567,90.1000061035156,363.440002441406,31388.900390625,K,03,K03
102050.9609375,100636.6875,66457,56986.796875,112738.453125,33127,240.22363609928,130.050003051758,-51.9199981689453,31620.80078125,K,04,K04
115046.734375,124835.71875,60397,51591.27734375,110341.5546875,30642,3778.66743885786,417.350006103516,1108.80004882812,31853.900390625,K,05,K05
113321.03125,109099.296875,68072,32261.837890625,117207.8125,18039,6184.5082186591,1048.05004882812,1330.55993652344,32144,K,06,K06
101692.2890625,107742.2734375,61856,34948.16015625,108470.8828125,21115,5186.62381729964,765.850036621094,970.640014648438,32356.80078125,K,07,K07
86258.796875,99623.8671875,56744,51786.796875,113088.515625,30011,3552.42236309803,1093.95007324219,767.359985351562,32591.400390625,K,08,K08
114351.6484375,109600.453125,68377,39491.91796875,103962.3359375,24895,3564.80777188643,572.900024414062,770.880004882812,32904.69921875,K,09,K09
113373.5390625,119390.8046875,62233,84253.515625,120218.5625,45930,256.029166559766,403.75,132,33074.5,K,10,K10
